element,sp_num,obs_wl_air,unc_obs_wl,ritz_wl_air,unc_ritz_wl,intens,Aki,log_gf,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,Type
Fe,1,400.0252,0.0003,400.025248,0.000023,457,2.2e+06,-1.58,E,3.26570610,6.36423934,3d64s4p,z 5D,2,3d64s 4d,e 7F,2,
Fe,1,400.04570,0.00005,400.045722,0.000023,1480,1.01e+06,-1.661,C+,2.99035244,6.08872711,3d64s2,b 3G,4,3d74p,w 3F,4,
Fe,5,,,400.060,0.010,,2.9e-02,,D+,5.73936,8.83763,3d4,1D2,2,3d4,1G1,4,E2
Fe,3,400.0767,0.0018,400.0767,0.0018,560,1.28e+08,0.44,B,24.590873,27.689008,3d55p,5G,4,3d56s,5G,4,
Fe,2,400.0801,0.0004,400.080175,0.000018,23,,,,10.2880497,13.3861576,3d64d,e 6F,9/2,3d54s4p,6D,9/2,
Fe,3,400.1149,0.0017,400.1148,0.0011,82,,,,23.436083,26.533923,3d54d,3G,5,3d55p,3H,5,
Fe,1,400.16615,0.00005,400.166094,0.000023,4470,7.47e+05,-1.901,C+,2.17594512,5.27338780,3d74s,a 5P,3,3d64s4p,x 5P,3,
Fe,3,400.2367,0.0012,400.2387,0.0006,150,,,,13.585070,16.681951,3d54s,1D,2,3d54p,3G,3,
Fe,1,400.26606,0.00024,400.26607,0.00004,407,,,,3.25148176,6.34815078,3d74s,a 3D,3,3d74p,v 3F,2,
Fe,2,400.2906,0.0003,400.290562,0.000019,20,,,,11.0494038,14.1458834,3d65p,6D,5/2,3d66d,114094,5/2,
Fe,5,400.30,0.02,400.322,0.016,17,1.37e-01,,C+,0.00000,3.09623,3d4,5D,0,3d4,3P2,1,M1
Fe,3,400.3231,0.0012,400.3227,0.0008,1200,1.41e+08,0.57,B,24.590630,27.686862,3d55p,5G,5,3d56s,5G,5,
Fe,3,400.3543,0.0012,400.3541,0.0008,150,2.1e+07,-0.25,C,24.590873,27.686862,3d55p,5G,4,3d56s,5G,5,
Fe,1,400.37616,0.00013,400.37614,0.00004,760,6.76e+06,-1.312,C,3.41489715,6.51071489,3d74s,a 1P,1,3d74p,u 3D,1,
Fe,1,400.48272,0.00005,400.48270,0.00004,3470,,,,3.23672008,6.33171407,3d74s,b 3H,6,3d64s4p,x 3H,5,
Fe,1,400.49782,0.00005,400.49780,0.00004,930,,,,3.01725044,6.11212776,3d74s,c 3P,2,3d64s4p,v 3D,1,
Fe,3,400.5022,0.0012,400.5013,0.0006,350,3.2e+05,-2.2,D,11.578732,14.673582,3d54s,3F,4,3d54p,3F,4,
Fe,1,400.52417,0.00005,400.524148,0.000023,209000,2.04e+07,-0.610,A,1.55735733,4.65203107,3d74s,a 3F,3,3d74p,y 3F,2,
Fe,1,400.53858,0.00013,400.538478,0.000023,309,,,,2.42419831,5.51876133,3d64s2,a 3P2,1,3d74p,y 5S,2,
Fe,1,400.5482,0.0003,400.54800,0.00004,650,,,,2.58810592,5.68259542,3d64s2,b 3F2,3,3d64s4p,x 5G,4,
Fe,3,400.561,0.003,400.5580,0.0008,31,,,,14.623957,17.718370,3d54s,1G,4,3d54p,3H,5,
Fe,3,400.561,0.003,400.5620,0.0006,31,,,,11.579200,14.673582,3d54s,3F,3,3d54p,3F,4,
Fe,1,400.61574,0.00024,400.615684,0.000023,186,,,,3.26570610,6.35967275,3d64s4p,z 5D,2,3d64s 5s,e 3D,3,
Fe,1,400.63105,0.00005,400.631097,0.000023,4790,5.1e+06,-0.95,D,3.26711257,6.36096020,3d74s,b 3H,5,3d74p,v 3F,4,
Fe,2,400.6392,0.0003,400.639494,0.000021,35,,,,10.1219773,13.2157601,3d54s2,2F2,5/2,3d54s4p,4P,5/2,
Fe,1,400.66240,0.00005,400.66241,0.00004,2820,5.89e+06,-1.371,B,3.11096179,6.20456765,3d74s,c 3P,0,3d74p,w 3P,1,
Fe,3,400.692,0.003,400.6909,0.0014,130,3.3e+06,-0.98,D+,23.436083,26.529469,3d54d,3G,5,3d55p,3H,6,
Fe,1,400.72718,0.00005,400.727179,0.000023,6600,4.40e+06,-1.276,B,2.75857762,5.85168345,3d74s,a 3G,3,3d64s4p,x 3F,2,
Fe,2,400.8090,0.0006,400.808411,0.000018,9,,,,10.9868006,14.0792796,3d54s4p,6D,9/2,3d66d,6F,9/2,
Fe,3,,,400.8310,0.0019,,7.4e-03,,D+,0.000000,3.092305,3d6,5D,4,3d6,3G,4,M1+E2
Fe,3,400.8771,0.0020,400.8750,0.0010,1200,1.64e+08,0.71,B,24.590272,27.682237,3d55p,5G,6,3d56s,5G,6,
Fe,1,400.9542,0.0003,400.954312,0.000023,89,,,,3.21118938,6.30254306,3d64s4p,z 5D,4,3d64s 4d,e 7F,5,
Fe,1,400.97125,0.00005,400.97125,0.00004,20900,4.64e+06,-1.252,B,2.22271209,5.31393522,3d74s,a 5P,1,3d64s4p,x 5P,2,
Fe,1,401.01761,0.00024,401.017377,0.000023,120,7.9e+05,-1.77,E,3.64164057,6.73250811,3d64s2,b 3D,3,3d64s4p,5D,4,
Fe,5,,,401.027,0.010,,8.4e-02,,C,4.57814,7.66893,3d4,3D,1,3d4,3P1,2,M1+E2
Fe,1,401.0748,0.0003,401.07462,0.00004,437,,,,2.60850194,5.69892835,3d64s2,b 3F2,2,3d64s4p,x 5G,2,
Fe,2,401.0835,0.0003,401.08384,0.00004,14,,,,10.8451196,13.9354750,3d54s4p,y 6F,9/2,3d67s,6D,9/2,
Fe,2,401.1308,0.0003,401.130898,0.000019,16,,,,11.0930363,14.1830292,3d65p,6D,1/2,3d66d,114393,3/2,
Fe,1,401.14072,0.00005,401.140701,0.000023,1000,2.26e+05,-2.418,B,2.55917148,5.64908881,3d64s2,b 3F2,4,3d64s4p,y 3G,3,
Fe,1,401.17110,0.00013,401.171125,0.000023,257,1.1e+05,-2.63,D,2.44955978,5.53924278,3d64s4p,z 7D,3,3d64s 5s,e 5D,4,
Fe,1,401.21488,0.00013,401.21492,0.00004,309,,,,3.23672008,6.32606584,3d74s,b 3H,6,3d64s4p,x 3H,6,
Fe,2,401.2742,0.0003,401.274280,0.000019,22,,,,10.9868006,14.0756894,3d54s4p,6D,9/2,3d66d,6F,11/2,
Fe,1,401.36392,0.00013,401.363855,0.000023,347,,,,3.21118938,6.29938878,3d64s4p,z 5D,4,3d64s 4d,f 7D,4,
Fe,1,401.37815,0.00005,401.378165,0.000023,810,4.19e+05,-2.149,C,3.01725044,6.10533975,3d74s,c 3P,2,3d74p,w 3F,3,
Fe,1,401.38246,0.00005,401.382435,0.000023,2340,,,,3.01725044,6.10530689,3d74s,c 3P,2,3d64s4p,v 3D,2,
Fe,2,401.4205,0.0003,401.42099,0.00003,33,,,,9.8300771,12.9178370,3d54s4p,x 6P,5/2,3d64d,4F,3/2,
Fe,1,401.42649,0.00013,401.426533,0.000023,324,,,,3.01762252,6.10533975,3d64s2,b 3G,3,3d74p,w 3F,3,
Fe,1,401.45306,0.00005,401.453083,0.000023,29500,1.53e+07,-0.587,C+,3.04686890,6.13438193,3d74s,a 1G,4,3d64s4p,1F,3,
Fe,6,,,401.456,0.009,,1.2e-01,-8.63,D,2.64272,5.73021,3d3,2G,9/2,3d3,2F,7/2,M1
Fe,6,,,401.456,0.009,,1.3e-01,-8.60,E,2.64272,5.73021,3d3,2G,9/2,3d3,2F,7/2,E2
Fe,1,401.4878,0.0003,401.48799,0.00004,219,,,,3.88160368,6.96884828,3d64s4p,z 3F,4,3d64s5d,5D,4,
Fe,1,401.5606,0.0003,401.56053,0.00004,620,,,,4.17769679,7.26438371,3d74p,y 5F,5,3d75d,5F,5,
Fe,1,401.64191,0.00013,401.641920,0.000023,710,,,,3.28302483,6.36908625,3d64s4p,z 5D,1,3d64s 4d,e 5G,2,
Fe,3,401.6489,0.0018,401.6488,0.0010,81,,,,12.232626,15.318635,3d54s,3S,1,3d54p,5P,1,
Fe,1,401.70832,0.00013,401.708236,0.000023,680,8.42e+05,-1.992,C,2.75857762,5.84412959,3d74s,a 3G,3,3d74p,w 3D,2,
Fe,1,401.71483,0.00005,401.714822,0.000023,3800,3.25e+06,-1.063,B+,3.04686890,6.13237029,3d74s,a 1G,4,3d74p,v 3G,5,
Fe,2,,,401.738482,0.000023,,9.9e-03,-9.72,D+,0.30129858,3.38661825,3d7,a 4F,7/2,3d64s,a 2F,7/2,M1+E2
Fe,1,401.74616,0.00013,401.74630,0.00005,389,,,,4.20888328,7.2941429,3d64s4p,z 3P,2,,58831e,3,
Fe,1,401.82673,0.00005,401.826688,0.000023,1410,3.44e+06,-1.234,B,3.26570610,6.35034852,3d64s4p,z 5D,2,3d64s 4d,e 5G,3,
Fe,1,401.90417,0.00024,401.90437,0.00005,204,1.1e+05,-2.72,E,2.60850194,5.6925481,3d64s2,b 3F2,2,3d64s4p,x 5G,3,
Fe,1,402.0483,0.0003,402.048342,0.000023,363,8.2e+05,-1.75,E,3.64164057,6.72458242,3d64s2,b 3D,3,3d64s4p,t 3G,4,
Fe,2,402.08874,0.00014,402.088802,0.000020,30,,,,11.0164343,14.0990660,3d65p,6D,7/2,3d66d,113716,7/2,
Fe,1,402.16025,0.00024,402.160281,0.000023,89,,,,2.42419831,5.50628207,3d64s2,a 3P2,1,3d64s4p,w 5D,1,
